date,stock_ret
2020-01-02,1.0
2020-01-03,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-20,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-10,1.0
2020-02-11,0.9890965069364571
2020-02-12,0.9996928125645864
2020-02-13,0.9821165832584701
2020-02-14,0.9891933261154381
2020-02-17,1.0018142553899894
2020-02-18,1.0035658004232533
2020-02-19,0.983109795355906
2020-02-20,0.9941751011643206
2020-02-21,1.0023089534904563
2020-02-24,1.0213483135682673
2020-02-25,1.030837158833128
2020-02-26,0.9762198244053025
2020-02-27,0.9760156098359826
2020-02-28,0.9426122867721923
2020-03-02,0.9874498402413978
2020-03-03,0.9875006283263978
2020-03-04,0.9874880728639022
2020-03-05,1.002229256862718
2020-03-06,0.9920201454245806
2020-03-09,0.9735058580687724
2020-03-10,0.9821168363554234
2020-03-11,0.9782368186907596
2020-03-12,0.9717367611373325
2020-03-13,0.9761739780958444
2020-03-16,0.94837534540862
2020-03-17,0.9686371483439193
2020-03-18,0.9437651400842969
2020-03-19,0.9424147913313193
2020-03-20,0.9415630916381746
2020-03-23,0.9123562290904035
2020-03-24,0.9266601258888949
2020-03-25,0.9363147369751456
2020-03-26,0.9557467117525354
2020-03-27,0.9671647089348739
2020-03-30,0.9525312340392927
2020-03-31,0.9523996562236724
2020-04-01,0.9413639402041286
2020-04-02,0.9582793662961766
2020-04-03,0.9483391669069698
2020-04-07,0.9624900325233474
2020-04-08,0.9642270014698142
2020-04-09,0.9666747950235436
2020-04-10,0.9596213189600924
2020-04-13,0.9584878364227177
2020-04-14,0.9710054996532258
2020-04-15,0.9631795709086614
2020-04-16,0.9720306456057564
2020-04-17,0.9667410724872743
2020-04-20,0.9688400519101005
2020-04-21,0.9617012940040208
2020-04-22,0.9714599709516099
